StockName,Date,Open,High,Low,Close,Volume
AdaniEnt,2/28/2022 15:30:00,1603.75,1651.1,1592.25,1644.45,1869037
AdaniEnt,3/2/2022 15:30:00,1638,1664.25,1615.5,1641.8,1249817
AdaniEnt,3/3/2022 15:30:00,1670,1678.2,1634.95,1643.8,1333325
AdaniEnt,3/4/2022 15:30:00,1621.8,1655.5,1601.2,1615,1433490
AdaniEnt,3/7/2022 15:30:00,1590,1592,1539.3,1564.05,1508821
AdaniEnt,3/8/2022 15:30:00,1574.9,1607.4,1553.4,1601.6,1396347
AdaniEnt,3/9/2022 15:30:00,1609.6,1669.95,1608,1656.55,1498176
AdaniEnt,3/10/2022 15:30:00,1682,1749.6,1678.25,1742.85,2294474
AdaniEnt,3/11/2022 15:30:00,1750,1757,1721.2,1734.1,1354129
AdaniEnt,3/14/2022 15:30:00,1732,1752.45,1722.45,1736.1,659190
AdaniEnt,3/15/2022 15:30:00,1740,1754.2,1686.65,1701.4,1085901
AdaniEnt,3/16/2022 15:30:00,1724,1764,1718.65,1758,1269866
AdaniEnt,3/17/2022 15:30:00,1775.6,1823.6,1760,1819.65,2392329
AdaniEnt,3/21/2022 15:30:00,1836.05,1841.9,1796.15,1802.95,1081052
AdaniEnt,3/22/2022 15:30:00,1802.95,1837,1790,1831.55,964066
AdaniEnt,3/23/2022 15:30:00,1848.05,1848.05,1800.85,1811,1553366
AdaniEnt,3/24/2022 15:30:00,1815,1839.55,1800.15,1832.8,1030145
AdaniEnt,3/25/2022 15:30:00,1835.55,1878,1822,1867,1366115
AdaniEnt,3/28/2022 15:30:00,1876.9,1924.4,1851.05,1909.7,1895438
AdaniEnt,3/29/2022 15:30:00,1919.25,1930.9,1885.5,1917.25,1715098
AdaniEnt,3/30/2022 15:30:00,1927.7,2015,1917.3,1995.25,3215951
AdaniEnt,3/31/2022 15:30:00,2005,2042,1991,2014.75,2786973
AdaniEnt,4/1/2022 15:30:00,2018,2049,2013.05,2043.65,1267111
AdaniEnt,4/4/2022 15:30:00,2050,2075.5,2032,2065.85,1334265
AdaniEnt,4/5/2022 15:30:00,2078,2189.8,2067.6,2139.85,4970260
AdaniEnt,4/6/2022 15:30:00,2153.75,2182.85,2124.2,2160,2259018
AdaniEnt,4/7/2022 15:30:00,2165.95,2214.95,2081.25,2099.05,3499044
AdaniEnt,4/8/2022 15:30:00,2115,2176,2105.25,2170.95,1924054
AdaniEnt,4/11/2022 15:30:00,2181.85,2200,2158.5,2180.2,1615715
AdaniEnt,4/12/2022 15:30:00,2188,2219,2155,2196.95,2632324
AdaniEnt,4/13/2022 15:30:00,2210,2217.15,2173.45,2199.45,992512
AdaniEnt,4/18/2022 15:30:00,2179.8,2240,2156.75,2233.85,1747434
AdaniEnt,4/19/2022 15:30:00,2245,2255,2140.1,2168.3,1639219
AdaniEnt,4/20/2022 15:30:00,2178,2207.95,2161.9,2183.95,1119025
AdaniEnt,4/21/2022 15:30:00,2216,2293.55,2203.9,2286.35,2243636
AdaniEnt,4/22/2022 15:30:00,2297,2306,2265,2273.3,1786042
AdaniEnt,4/25/2022 15:30:00,2259.95,2295,2242.6,2284.2,1683622
AdaniEnt,4/26/2022 15:30:00,2297,2413.9,2295.1,2395.3,3199358
AdaniEnt,4/27/2022 15:30:00,2404.95,2420.95,2325,2334.1,2559876
AdaniEnt,4/28/2022 15:30:00,2359.85,2389.9,2336.3,2378.55,1679893
AdaniEnt,4/29/2022 15:30:00,2389,2394.15,2301.5,2332,1916180
AdaniEnt,5/2/2022 15:30:00,2325,2362.3,2311,2339.5,1006544
AdaniEnt,5/4/2022 15:30:00,2358.7,2362.9,2233.05,2253.8,1744686
AdaniEnt,5/5/2022 15:30:00,2270,2303.8,2236,2255.4,1636796
AdaniEnt,5/6/2022 15:30:00,2210,2262,2200,2247.7,1161579
AdaniEnt,5/9/2022 15:30:00,2229.5,2244.2,2180,2197.65,1450886
AdaniEnt,5/10/2022 15:30:00,2190,2220,2097.5,2109.5,1471866
AdaniEnt,5/11/2022 15:30:00,2109.6,2157.75,2077,2119.3,1397917
AdaniEnt,5/12/2022 15:30:00,2103,2113.6,2011.05,2045.2,1553685
AdaniEnt,5/13/2022 15:30:00,2084.5,2135,2035.3,2054.15,1547617
AdaniEnt,5/16/2022 15:30:00,2082.65,2141.95,2057.65,2105.9,1742552
AdaniEnt,5/17/2022 15:30:00,2133.05,2192.25,2119.4,2184.85,1061085
AdaniEnt,5/18/2022 15:30:00,2199.7,2216.9,2172,2181.1,1296983
AdaniEnt,5/19/2022 15:30:00,2145,2154.75,2097.6,2114.75,986930
AdaniEnt,5/20/2022 15:30:00,2159,2232.4,2151,2219.55,1444803
AdaniEnt,5/23/2022 15:30:00,2231.75,2245,2155.65,2170.65,1455450
AdaniEnt,5/24/2022 15:30:00,2161,2178.9,2142.55,2160.2,1008943
AdaniEnt,5/25/2022 15:30:00,2168,2181.45,2066.2,2074.15,1382448
AdaniEnt,5/26/2022 15:30:00,2077,2088,1906.2,2046.4,4967514
AdaniEnt,5/27/2022 15:30:00,2080,2094.3,2047.7,2080.15,1354005
AdaniEnt,5/30/2022 15:30:00,2120,2175,2102,2165.65,1384584
AdaniEnt,5/31/2022 15:30:00,2160,2225.8,2150.4,2167.55,2861556
AdaniEnt,6/1/2022 15:30:00,2169.95,2189.3,2126,2150.9,1448212
AdaniEnt,6/2/2022 15:30:00,2155,2218,2142.3,2209.4,1855167
AdaniEnt,6/3/2022 15:30:00,2235,2242.25,2176.05,2190,1651685
AdaniEnt,6/6/2022 15:30:00,2188.5,2230,2168.2,2225.05,1664487
AdaniEnt,6/7/2022 15:30:00,2210,2254.7,2207.05,2227.55,2046676
AdaniEnt,6/8/2022 15:30:00,2244.95,2244.95,2158.55,2177.2,1530739
AdaniEnt,6/9/2022 15:30:00,2160.3,2224,2155,2219.2,1440385
AdaniEnt,6/10/2022 15:30:00,2190,2215,2171,2203.1,1305761
AdaniEnt,6/13/2022 15:30:00,2172.5,2172.5,2066.75,2079.75,1764172
AdaniEnt,6/14/2022 15:30:00,2274,2274,2053.1,2196.45,6515102
AdaniEnt,6/15/2022 15:30:00,2218.4,2219.7,2174.2,2184.6,1313510
AdaniEnt,6/16/2022 15:30:00,2205,2217.3,2076.05,2083,2131789
AdaniEnt,6/17/2022 15:30:00,2062,2137.4,2060.15,2095.8,2280135
AdaniEnt,6/20/2022 15:30:00,2107.3,2123.3,2025,2079.85,2603594
AdaniEnt,6/21/2022 15:30:00,2100,2177,2091.65,2161.8,1331500
AdaniEnt,6/22/2022 15:30:00,2149.95,2149.95,2077.1,2089.2,1774137
AdaniEnt,6/23/2022 15:30:00,2105,2128,2080,2110.35,1026783
AdaniEnt,6/24/2022 15:30:00,2121,2168,2108.6,2161.45,1156536
AdaniEnt,6/27/2022 15:30:00,2189,2211,2169.35,2181.6,1202504
AdaniEnt,6/28/2022 15:30:00,2170,2210.25,2160,2204.6,1282047
AdaniEnt,6/29/2022 15:30:00,2185,2247.8,2177.2,2220.1,1692493
AdaniEnt,6/30/2022 15:30:00,2220,2248.5,2180.5,2190.9,1568415
AdaniEnt,7/1/2022 15:30:00,2189.9,2242,2138.25,2232.2,2141743
AdaniEnt,7/4/2022 15:30:00,2232.2,2277,2228.35,2261.85,1581159
AdaniEnt,7/5/2022 15:30:00,2264,2290.7,2238,2246.45,1356776
AdaniEnt,7/6/2022 15:30:00,2245,2277,2236.5,2272.85,1045463
AdaniEnt,7/7/2022 15:30:00,2280,2294.95,2256,2274.3,946131
AdaniEnt,7/8/2022 15:30:00,2286,2303.6,2263.9,2293.05,898576
AdaniEnt,7/11/2022 15:30:00,2293.05,2384.6,2291.05,2373.25,1967308
AdaniEnt,7/12/2022 15:30:00,2364.4,2389.8,2350.15,2365.65,1273008
AdaniEnt,7/13/2022 15:30:00,2373.5,2384.65,2333.7,2353.5,982185
AdaniEnt,7/14/2022 15:30:00,2365,2404,2336.5,2383.1,933554
AdaniEnt,7/15/2022 15:30:00,2414.5,2422.95,2377,2405.25,1169788
AdaniEnt,7/18/2022 15:30:00,2424,2441.85,2406.05,2423.6,937204
AdaniEnt,7/19/2022 15:30:00,2406.95,2459.3,2405,2451.3,843301
