StockName,Date,Open,High,Low,Close,Volume
Titan,2/28/2022 15:30:00,2430,2563.65,2430,2546.55,2355891
Titan,3/2/2022 15:30:00,2550,2604.8,2524.35,2592.65,3536974
Titan,3/3/2022 15:30:00,2620,2639.8,2560,2574.25,2153478
Titan,3/4/2022 15:30:00,2565,2565,2430,2441,2652474
Titan,3/7/2022 15:30:00,2414.8,2419.95,2330,2389.7,1545686
Titan,3/8/2022 15:30:00,2400,2419.5,2325.6,2371.25,1467595
Titan,3/9/2022 15:30:00,2393,2460.5,2375,2433.65,1581979
Titan,3/10/2022 15:30:00,2498,2504.75,2444.85,2467.8,1051744
Titan,3/11/2022 15:30:00,2478,2498.2,2448.85,2493.6,812330
Titan,3/14/2022 15:30:00,2490,2545,2475,2539,1004492
Titan,3/15/2022 15:30:00,2559,2579,2543.2,2556.95,1571483
Titan,3/16/2022 15:30:00,2577.8,2593.5,2566,2587.3,757197
Titan,3/17/2022 15:30:00,2600.1,2721.65,2600.1,2703,3336088
Titan,3/21/2022 15:30:00,2740,2768,2700,2707.25,1889261
Titan,3/22/2022 15:30:00,2716.25,2718.8,2646.45,2712.75,1279904
Titan,3/23/2022 15:30:00,2730,2742.95,2677.85,2690,1281815
Titan,3/24/2022 15:30:00,2694,2694,2612.55,2618.5,1835380
Titan,3/25/2022 15:30:00,2631,2634,2518,2523.9,2863040
Titan,3/28/2022 15:30:00,2536.5,2545.55,2483,2535.9,1316800
Titan,3/29/2022 15:30:00,2550,2559,2525.3,2538.8,908172
Titan,3/30/2022 15:30:00,2556.3,2565.75,2510,2523.15,866666
Titan,3/31/2022 15:30:00,2525.25,2545.4,2519.95,2536.15,910316
Titan,4/1/2022 15:30:00,2538,2550,2491.85,2520.85,1208002
Titan,4/4/2022 15:30:00,2540.35,2562,2508.75,2517,1424995
Titan,4/5/2022 15:30:00,2532,2577.8,2520.05,2549.2,1586304
Titan,4/6/2022 15:30:00,2547,2564.9,2523.3,2540.05,1349078
Titan,4/7/2022 15:30:00,2502.3,2544.45,2452,2458.35,2785215
Titan,4/8/2022 15:30:00,2468.35,2532.65,2465,2509.95,1217812
Titan,4/11/2022 15:30:00,2503,2509.95,2477.4,2489.85,660112
